"Series,""Date"",""Value"""
"Temperature for Smartbrick 141425,""2022-03-07 11:53:02"",""4.8"""
"Temperature for Smartbrick 141425,""2022-03-07 12:03:02"",""5"""
"Temperature for Smartbrick 141425,""2022-03-07 12:13:01"",""5.2"""
"Temperature for Smartbrick 141425,""2022-03-07 12:23:03"",""5.4"""
"Temperature for Smartbrick 141425,""2022-03-07 12:33:01"",""5.4"""
"Temperature for Smartbrick 141425,""2022-03-07 12:43:02"",""5.4"""
"Temperature for Smartbrick 141425,""2022-03-07 12:53:01"",""5.4"""
"Temperature for Smartbrick 141425,""2022-03-07 13:03:02"",""5.5"""
"Temperature for Smartbrick 141425,""2022-03-07 13:13:01"",""5.5"""
"Temperature for Smartbrick 141425,""2022-03-07 13:23:01"",""5.6"""
"Temperature for Smartbrick 141425,""2022-03-07 13:33:03"",""5.7"""
"Temperature for Smartbrick 141425,""2022-03-07 13:43:01"",""5.7"""
"Temperature for Smartbrick 141425,""2022-03-07 13:53:01"",""5.7"""
"Temperature for Smartbrick 141425,""2022-03-07 14:03:01"",""5.8"""
"Temperature for Smartbrick 141425,""2022-03-07 14:13:01"",""5.9"""
"Temperature for Smartbrick 141425,""2022-03-07 14:23:01"",""5.9"""
"Temperature for Smartbrick 141425,""2022-03-07 14:33:02"",""5.9"""
"Temperature for Smartbrick 141425,""2022-03-07 14:43:02"",""6"""
"Temperature for Smartbrick 141425,""2022-03-07 14:53:01"",""6"""
"Temperature for Smartbrick 141425,""2022-03-07 15:03:01"",""6.1"""
"Temperature for Smartbrick 141425,""2022-03-07 15:13:01"",""6.2"""
"Temperature for Smartbrick 141425,""2022-03-07 15:23:01"",""6.2"""
"Temperature for Smartbrick 141425,""2022-03-07 15:33:01"",""6.2"""
"Temperature for Smartbrick 141425,""2022-03-07 15:43:01"",""6.3"""
"Temperature for Smartbrick 141425,""2022-03-07 15:53:02"",""6.3"""
"Temperature for Smartbrick 141425,""2022-03-07 16:03:01"",""6.4"""
"Temperature for Smartbrick 141425,""2022-03-07 16:13:01"",""6.4"""
"Temperature for Smartbrick 141425,""2022-03-07 16:23:02"",""6.5"""
"Temperature for Smartbrick 141425,""2022-03-07 16:33:04"",""6.5"""
"Temperature for Smartbrick 141425,""2022-03-07 16:43:02"",""6.5"""
"Temperature for Smartbrick 141425,""2022-03-07 16:53:01"",""6.5"""
"Temperature for Smartbrick 141425,""2022-03-07 17:03:02"",""6.5"""
"Temperature for Smartbrick 141425,""2022-03-07 17:13:01"",""6.4"""
"Temperature for Smartbrick 141425,""2022-03-07 17:23:01"",""6.4"""
"Temperature for Smartbrick 141425,""2022-03-07 17:33:01"",""6.4"""
"Temperature for Smartbrick 141425,""2022-03-07 17:43:01"",""6.2"""
"Temperature for Smartbrick 141425,""2022-03-07 17:53:01"",""6"""
"Temperature for Smartbrick 141425,""2022-03-07 18:03:01"",""5.9"""
"Temperature for Smartbrick 141425,""2022-03-07 18:13:02"",""5.8"""
"Temperature for Smartbrick 141425,""2022-03-07 18:23:02"",""5.6"""
"Temperature for Smartbrick 141425,""2022-03-07 18:33:01"",""5.5"""
"Temperature for Smartbrick 141425,""2022-03-07 18:43:01"",""5.3"""
"Temperature for Smartbrick 141425,""2022-03-07 18:53:02"",""5.2"""
"Temperature for Smartbrick 141425,""2022-03-07 19:03:01"",""5.1"""
"Temperature for Smartbrick 141425,""2022-03-07 19:13:01"",""5"""
"Temperature for Smartbrick 141425,""2022-03-07 19:23:02"",""5"""
"Temperature for Smartbrick 141425,""2022-03-07 19:33:01"",""5"""
"Temperature for Smartbrick 141425,""2022-03-07 19:43:01"",""4.8"""
"Temperature for Smartbrick 141425,""2022-03-07 19:53:01"",""4.8"""
"Temperature for Smartbrick 141425,""2022-03-07 20:03:01"",""4.7"""
"Temperature for Smartbrick 141425,""2022-03-07 20:13:01"",""4.6"""
"Temperature for Smartbrick 141425,""2022-03-07 20:23:03"",""4.5"""
"Temperature for Smartbrick 141425,""2022-03-07 20:33:01"",""4.3"""
"Temperature for Smartbrick 141425,""2022-03-07 20:43:01"",""4.3"""
"Temperature for Smartbrick 141425,""2022-03-07 20:53:01"",""4.3"""
"Temperature for Smartbrick 141425,""2022-03-07 21:03:01"",""4.3"""
"Temperature for Smartbrick 141425,""2022-03-07 21:13:01"",""4.3"""
"Temperature for Smartbrick 141425,""2022-03-07 21:23:01"",""4.2"""
"Temperature for Smartbrick 141425,""2022-03-07 21:33:02"",""4.1"""
"Temperature for Smartbrick 141425,""2022-03-07 21:43:02"",""4.1"""
"Temperature for Smartbrick 141425,""2022-03-07 21:53:01"",""4.1"""
"Temperature for Smartbrick 141425,""2022-03-07 22:03:03"",""4.1"""
"Temperature for Smartbrick 141425,""2022-03-07 22:13:01"",""4"""
"Temperature for Smartbrick 141425,""2022-03-07 22:23:01"",""3.9"""
"Temperature for Smartbrick 141425,""2022-03-07 22:33:01"",""3.9"""
"Temperature for Smartbrick 141425,""2022-03-07 22:43:01"",""3.9"""
"Temperature for Smartbrick 141425,""2022-03-07 22:53:01"",""3.8"""
"Temperature for Smartbrick 141425,""2022-03-07 23:03:01"",""3.8"""
"Temperature for Smartbrick 141425,""2022-03-07 23:13:01"",""3.8"""
"Temperature for Smartbrick 141425,""2022-03-07 23:23:01"",""3.8"""
"Temperature for Smartbrick 141425,""2022-03-07 23:33:01"",""3.8"""
"Temperature for Smartbrick 141425,""2022-03-07 23:43:01"",""3.7"""
"Temperature for Smartbrick 141425,""2022-03-07 23:53:01"",""3.7"""
"Temperature for Smartbrick 141425,""2022-03-08 00:03:01"",""3.6"""
"Temperature for Smartbrick 141425,""2022-03-08 00:13:01"",""3.5"""
"Temperature for Smartbrick 141425,""2022-03-08 00:23:01"",""3.4"""
"Temperature for Smartbrick 141425,""2022-03-08 00:33:01"",""3.3"""
"Temperature for Smartbrick 141425,""2022-03-08 00:43:01"",""3.2"""
"Temperature for Smartbrick 141425,""2022-03-08 00:53:01"",""3.1"""
"Temperature for Smartbrick 141425,""2022-03-08 01:03:01"",""3"""
"Temperature for Smartbrick 141425,""2022-03-08 01:13:01"",""2.9"""
"Temperature for Smartbrick 141425,""2022-03-08 01:23:01"",""2.8"""
"Temperature for Smartbrick 141425,""2022-03-08 01:33:01"",""2.7"""
"Temperature for Smartbrick 141425,""2022-03-08 01:43:01"",""2.6"""
"Temperature for Smartbrick 141425,""2022-03-08 01:53:01"",""2.6"""
"Temperature for Smartbrick 141425,""2022-03-08 02:03:01"",""2.5"""
"Temperature for Smartbrick 141425,""2022-03-08 02:13:01"",""2.5"""
"Temperature for Smartbrick 141425,""2022-03-08 02:23:01"",""2.5"""
"Temperature for Smartbrick 141425,""2022-03-08 02:33:01"",""2.3"""
"Temperature for Smartbrick 141425,""2022-03-08 02:43:03"",""2.3"""
"Temperature for Smartbrick 141425,""2022-03-08 02:53:01"",""2.2"""
"Temperature for Smartbrick 141425,""2022-03-08 03:03:03"",""2.2"""
"Temperature for Smartbrick 141425,""2022-03-08 03:13:01"",""2.1"""
"Temperature for Smartbrick 141425,""2022-03-08 03:23:01"",""1.9"""
"Temperature for Smartbrick 141425,""2022-03-08 03:33:01"",""1.8"""
"Temperature for Smartbrick 141425,""2022-03-08 03:43:01"",""1.7"""
"Temperature for Smartbrick 141425,""2022-03-08 03:53:01"",""1.5"""
"Temperature for Smartbrick 141425,""2022-03-08 04:03:01"",""1.5"""
"Temperature for Smartbrick 141425,""2022-03-08 04:13:01"",""1.4"""
"Temperature for Smartbrick 141425,""2022-03-08 04:23:01"",""1.3"""
"Temperature for Smartbrick 141425,""2022-03-08 04:33:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 04:43:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 04:53:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 05:03:01"",""1.3"""
"Temperature for Smartbrick 141425,""2022-03-08 05:13:02"",""1.3"""
"Temperature for Smartbrick 141425,""2022-03-08 05:23:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 05:33:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 05:43:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 05:53:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 06:03:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 06:13:01"",""1.2"""
"Temperature for Smartbrick 141425,""2022-03-08 06:23:01"",""1.1"""
"Temperature for Smartbrick 141425,""2022-03-08 06:33:01"",""1.1"""
"Temperature for Smartbrick 141425,""2022-03-08 06:43:01"",""1.1"""
"Temperature for Smartbrick 141425,""2022-03-08 06:53:01"",""1"""
"Temperature for Smartbrick 141425,""2022-03-08 07:03:01"",""1"""
