"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-08 01:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 01:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:03:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 02:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 02:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 02:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:43:03"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 03:03:03"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 04:03:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 04:13:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 04:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 04:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 04:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 04:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 05:03:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 05:13:02"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 05:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 05:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 05:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 05:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 06:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 06:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 06:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 06:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 06:43:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 06:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 07:03:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 07:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 07:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 07:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 07:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 07:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 08:03:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 08:13:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 08:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 08:33:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 08:43:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 08:53:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 09:03:02"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 09:13:02"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 09:23:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 09:33:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 09:43:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 09:53:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 10:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 10:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 10:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 10:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 10:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 10:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 11:03:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 11:13:02"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 11:23:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 11:33:02"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 11:43:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 11:53:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 12:03:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 12:13:04"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 12:23:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 12:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 12:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 12:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 13:03:02"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 13:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 13:23:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 13:33:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 13:43:02"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 13:53:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 14:03:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 14:13:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 14:23:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 14:33:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 14:43:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 14:53:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 15:03:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 15:13:04"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 15:23:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 15:33:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 15:43:05"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 15:53:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 16:03:01"",""1.69677734"""
