"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-08 00:11:18"",""3.4"""
"Temperature for Smartbrick 141419,""2022-03-08 00:21:18"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-08 00:31:18"",""3.2"""
"Temperature for Smartbrick 141419,""2022-03-08 00:41:18"",""3.1"""
"Temperature for Smartbrick 141419,""2022-03-08 00:51:18"",""3"""
"Temperature for Smartbrick 141419,""2022-03-08 01:01:19"",""2.9"""
"Temperature for Smartbrick 141419,""2022-03-08 01:11:18"",""2.8"""
"Temperature for Smartbrick 141419,""2022-03-08 01:21:22"",""2.8"""
"Temperature for Smartbrick 141419,""2022-03-08 01:31:19"",""2.7"""
"Temperature for Smartbrick 141419,""2022-03-08 01:41:19"",""2.6"""
"Temperature for Smartbrick 141419,""2022-03-08 01:51:22"",""2.5"""
"Temperature for Smartbrick 141419,""2022-03-08 02:01:18"",""2.5"""
"Temperature for Smartbrick 141419,""2022-03-08 02:11:18"",""2.5"""
"Temperature for Smartbrick 141419,""2022-03-08 02:21:18"",""2.4"""
"Temperature for Smartbrick 141419,""2022-03-08 02:31:18"",""2.3"""
"Temperature for Smartbrick 141419,""2022-03-08 02:41:18"",""2.3"""
"Temperature for Smartbrick 141419,""2022-03-08 02:51:18"",""2.2"""
"Temperature for Smartbrick 141419,""2022-03-08 03:01:22"",""2.2"""
"Temperature for Smartbrick 141419,""2022-03-08 03:11:18"",""2.1"""
"Temperature for Smartbrick 141419,""2022-03-08 03:21:19"",""2"""
"Temperature for Smartbrick 141419,""2022-03-08 03:31:19"",""1.8"""
"Temperature for Smartbrick 141419,""2022-03-08 03:41:18"",""1.7"""
"Temperature for Smartbrick 141419,""2022-03-08 03:51:19"",""1.6"""
"Temperature for Smartbrick 141419,""2022-03-08 04:01:22"",""1.5"""
"Temperature for Smartbrick 141419,""2022-03-08 04:11:18"",""1.4"""
"Temperature for Smartbrick 141419,""2022-03-08 04:21:21"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 04:31:19"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 04:41:18"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 04:51:20"",""1.2"""
"Temperature for Smartbrick 141419,""2022-03-08 05:01:18"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 05:11:19"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 05:21:18"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 05:31:19"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 05:41:20"",""1.2"""
"Temperature for Smartbrick 141419,""2022-03-08 05:51:18"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 06:01:18"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-08 06:11:18"",""1.2"""
"Temperature for Smartbrick 141419,""2022-03-08 06:21:18"",""1.2"""
"Temperature for Smartbrick 141419,""2022-03-08 06:41:18"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 06:51:18"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:01:24"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:11:18"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:21:18"",""1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:31:19"",""1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:41:18"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 07:51:23"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 08:01:18"",""1.1"""
"Temperature for Smartbrick 141419,""2022-03-08 08:11:18"",""1.2"""
"Temperature for Smartbrick 141419,""2022-03-08 08:21:22"",""1.4"""
"Temperature for Smartbrick 141419,""2022-03-08 08:31:19"",""1.6"""
"Temperature for Smartbrick 141419,""2022-03-08 08:41:19"",""1.7"""
"Temperature for Smartbrick 141419,""2022-03-08 08:51:18"",""1.8"""
"Temperature for Smartbrick 141419,""2022-03-08 09:01:18"",""2.2"""
"Temperature for Smartbrick 141419,""2022-03-08 09:11:18"",""2.5"""
"Temperature for Smartbrick 141419,""2022-03-08 09:21:19"",""2.8"""
"Temperature for Smartbrick 141419,""2022-03-08 09:31:18"",""3"""
"Temperature for Smartbrick 141419,""2022-03-08 09:41:18"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-08 10:01:18"",""3.9"""
"Temperature for Smartbrick 141419,""2022-03-08 10:11:23"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-08 10:21:23"",""4.4"""
"Temperature for Smartbrick 141419,""2022-03-08 10:31:19"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-08 10:41:19"",""4.9"""
"Temperature for Smartbrick 141419,""2022-03-08 10:51:24"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-08 11:01:18"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-08 11:11:18"",""5.5"""
"Temperature for Smartbrick 141419,""2022-03-08 11:21:19"",""5.7"""
"Temperature for Smartbrick 141419,""2022-03-08 11:31:18"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-08 11:51:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-08 12:01:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-08 12:11:18"",""6.4"""
"Temperature for Smartbrick 141419,""2022-03-08 12:21:18"",""6.5"""
"Temperature for Smartbrick 141419,""2022-03-08 12:31:19"",""6.7"""
"Temperature for Smartbrick 141419,""2022-03-08 12:41:19"",""6.8"""
"Temperature for Smartbrick 141419,""2022-03-08 12:51:18"",""6.9"""
"Temperature for Smartbrick 141419,""2022-03-08 13:21:26"",""7.5"""
"Temperature for Smartbrick 141419,""2022-03-08 13:31:23"",""7.6"""
