Data;Device ID;Sequence number;Timestamp
c41ffed80af7000000e6;00CEA278;478;12-7-2021 09:14
c411fed10afb000000eb;00CEA278;477;12-7-2021 09:04
c413fecc0b00000000e9;00CEA278;476;12-7-2021 08:54
c40dfec50b07000000eb;00CEA278;475;12-7-2021 08:43
c409fec90afd000000ec;00CEA278;474;12-7-2021 08:33
c403feb70b0b000000f1;00CEA278;473;12-7-2021 08:23
c410feca0afe000000ef;00CEA278;472;12-7-2021 08:12
c413fecc0afe000000ee;00CEA278;471;12-7-2021 08:02
c40efed00afc000000ee;00CEA278;470;12-7-2021 07:52
c419feca0b04000000ef;00CEA278;469;12-7-2021 07:41
c413fecf0b00000000e9;00CEA278;468;12-7-2021 07:31
c41dfed10af3000000e9;00CEA278;467;12-7-2021 07:21
c413fec50afc000000e7;00CEA278;466;12-7-2021 07:10
c418fecb0afb000000ee;00CEA278;465;12-7-2021 07:00
c410fecd0af8000000ec;00CEA278;464;12-7-2021 06:50
c419fed80af9000000ef;00CEA278;463;12-7-2021 06:39
c418fece0afc000000ee;00CEA278;462;12-7-2021 06:29
c415fed20af8000000e9;00CEA278;461;12-7-2021 06:19
c415fed20afa000000eb;00CEA278;460;12-7-2021 06:08
c40efed20b04000000ec;00CEA278;459;12-7-2021 05:58
c414fec80af7000000eb;00CEA278;458;12-7-2021 05:48
c419fecf0af8000000e7;00CEA278;457;12-7-2021 05:37
c413fec90b01000000ec;00CEA278;456;12-7-2021 05:27
c415fecd0af4000000e9;00CEA278;455;12-7-2021 05:17
c40efecc0afd000000e9;00CEA278;454;12-7-2021 05:06
c416feca0afe000000e9;00CEA278;453;12-7-2021 04:56
c413fec80b00000000e9;00CEA278;452;12-7-2021 04:46
c410feca0afe000000ef;00CEA278;451;12-7-2021 04:35
c41afed20afb000000eb;00CEA278;450;12-7-2021 04:25
c411fec90afc000000eb;00CEA278;449;12-7-2021 04:15
c419fec90aff000000eb;00CEA278;448;12-7-2021 04:04
