"Data";"Device ID";"Sequence number";"Timestamp"
"c397ff7f0a49000000e900";"00CEA297";"2863";"2021-07-12 09:14:42"
"c394ff8f0a49000000ef00";"00CEA297";"2862";"2021-07-12 09:04:25"
"c38bff860a4c000000f400";"00CEA297";"2861";"2021-07-12 08:54:01"
"c38eff830a46000000f700";"00CEA297";"2860";"2021-07-12 08:43:42"
"c38dff8c0a3e000000f601";"00CEA297";"2859";"2021-07-12 08:35:35"
"c38fff860a44000000ef01";"00CEA297";"2858";"2021-07-12 08:25:17"
"c38cff8e0a49000000f601";"00CEA297";"2857";"2021-07-12 08:14:54"
"c391ff8d0a4c000000f300";"00CEA297";"2856";"2021-07-12 08:02:22"
"c392ff890a4c000000f101";"00CEA297";"2855";"2021-07-12 07:54:15"
"c38aff7e0a52000000ef01";"00CEA297";"2854";"2021-07-12 07:43:55"
"c394ff820a4d000000f600";"00CEA297";"2853";"2021-07-12 07:31:22"
"c390ff870a4c000000f600";"00CEA297";"2852";"2021-07-12 07:21:02"
"c391ff800a4e000000f100";"00CEA297";"2851";"2021-07-12 07:10:42"
"c38dff840a44000000f600";"00CEA297";"2850";"2021-07-12 07:00:22"
"c389ff840a3d000000f300";"00CEA297";"2849";"2021-07-12 06:50:02"
"c38fff860a42000000ef00";"00CEA297";"2848";"2021-07-12 06:39:46"
"c394ff870a49000000f301";"00CEA297";"2847";"2021-07-12 06:31:34"
"c38eff860a46000000ec00";"00CEA297";"2846";"2021-07-12 06:19:02"
"c390ff7f0a48000000f100";"00CEA297";"2845";"2021-07-12 06:08:43"
"c389ff8c0a43000000ee01";"00CEA297";"2844";"2021-07-12 06:00:35"
"c38aff810a48000000f101";"00CEA297";"2843";"2021-07-12 05:50:15"
"c3a2ff830a42000000ec00";"00CEA297";"2842";"2021-07-12 05:37:42"
"c398ff8a0a44000000f101";"00CEA297";"2841";"2021-07-12 05:29:34"
"c38dff8c0a4e000000f100";"00CEA297";"2840";"2021-07-12 05:17:02"
"c38eff8c0a50000000f301";"00CEA297";"2839";"2021-07-12 05:08:55"
"c38fff8a0a4f000000f300";"00CEA297";"2838";"2021-07-12 04:56:21"
"c38eff8c0a4d000000f100";"00CEA297";"2837";"2021-07-12 04:46:01"
"c38cff870a4b000000f101";"00CEA297";"2836";"2021-07-12 04:37:55"
"c395ff8b0a49000000f100";"00CEA297";"2835";"2021-07-12 04:25:21"
"c390ff800a47000000f300";"00CEA297";"2834";"2021-07-12 04:15:01"
"c38fff870a44000000ee01";"00CEA297";"2833";"2021-07-12 04:06:54"
"c391ff880a47000000f300";"00CEA297";"2832";"2021-07-12 03:54:21"
"c386ff8d0a47000000f100";"00CEA297";"2831";"2021-07-12 03:44:01"
"c390ff8f0a47000000f300";"00CEA297";"2830";"2021-07-12 03:33:41"
"c393ff8c0a49000000f100";"00CEA297";"2829";"2021-07-12 03:23:22"
"c39bff8b0a3c000000f400";"00CEA297";"2828";"2021-07-12 03:13:06"
"c38cff890a46000000ee00";"00CEA297";"2827";"2021-07-12 03:02:41"
"c38fff900a42000000f700";"00CEA297";"2826";"2021-07-12 02:52:21"
"c38bff8e0a45000000fa00";"00CEA297";"2825";"2021-07-12 02:42:01"
"c397ff890a49000000f600";"00CEA297";"2824";"2021-07-12 02:31:41"
"c392ff850a44000000f600";"00CEA297";"2823";"2021-07-12 02:21:21"
"c395ff8e0a4d000000f300";"00CEA297";"2822";"2021-07-12 02:11:01"
"c38bff8e0a44000000f100";"00CEA297";"2821";"2021-07-12 02:00:43"
"c394ff880a3f000000f700";"00CEA297";"2820";"2021-07-12 01:50:23"
"c38dff870a46000000f701";"00CEA297";"2819";"2021-07-12 01:42:14"
"c391ff890a47000000f400";"00CEA297";"2818";"2021-07-12 01:29:41"
"c38cff880a46000000f600";"00CEA297";"2817";"2021-07-12 01:19:21"
"c38fff890a48000000f701";"00CEA297";"2816";"2021-07-12 01:11:14"
"c38cff810a42000000f600";"00CEA297";"2815";"2021-07-12 00:58:41"
"c38cff8e0a43000000f600";"00CEA297";"2814";"2021-07-12 00:48:21"
"c38eff850a43000000f600";"00CEA297";"2813";"2021-07-12 00:38:01"
"c388ff830a39000000f300";"00CEA297";"2812";"2021-07-12 00:27:41"
"c38dff840a43000000f700";"00CEA297";"2811";"2021-07-12 00:17:21"
"c38aff8b0a3e000000f900";"00CEA297";"2810";"2021-07-12 00:07:03"
"c386ff860a36000000fc01";"00CEA297";"2809";"2021-07-11 23:58:54"
"c388ff820a40000000f400";"00CEA297";"2808";"2021-07-11 23:46:23"
"c38fff8f0a41000000f700";"00CEA297";"2807";"2021-07-11 23:36:01"
"c38eff810a43000000f700";"00CEA297";"2806";"2021-07-11 23:25:41"
"c38eff820a46000000f400";"00CEA297";"2805";"2021-07-11 23:15:21"
"c38cff830a34000000fa00";"00CEA297";"2804";"2021-07-11 23:05:03"
"c398ff8a0a41000000f700";"00CEA297";"2803";"2021-07-11 22:54:41"
"c386ff840a34000000fc01";"00CEA297";"2802";"2021-07-11 22:46:34"
"c387ff8f0a3a000000f300";"00CEA297";"2801";"2021-07-11 22:34:01"
"c38eff850a3c000000f701";"00CEA297";"2800";"2021-07-11 22:25:54"
"c387ff8c0a39000000fd01";"00CEA297";"2799";"2021-07-11 22:15:36"
"c387ff8e0a42000000fd00";"00CEA297";"2798";"2021-07-11 22:03:01"
"c38aff880a40000000ff01";"00CEA297";"2797";"2021-07-11 21:54:54"
"c38dff890a36000000f400";"00CEA297";"2796";"2021-07-11 21:42:20"
"c38dff8a0a38000000fa00";"00CEA297";"2795";"2021-07-11 21:32:01"
"c38cff900a40000000ff00";"00CEA297";"2794";"2021-07-11 21:21:41"
"c388ff8c0a3b000000fc00";"00CEA297";"2793";"2021-07-11 21:11:21"
"c387ff7e0a3d0000010400";"00CEA297";"2792";"2021-07-11 21:01:01"
"c384ff850a38000000ff00";"00CEA297";"2791";"2021-07-11 20:50:41"
"c382ff850a35000000fd00";"00CEA297";"2790";"2021-07-11 20:40:20"
"c386ff850a3c000000fa00";"00CEA297";"2789";"2021-07-11 20:30:01"
"c387ff8d0a36000000f700";"00CEA297";"2788";"2021-07-11 20:19:41"
"c388ff890a33000000fc00";"00CEA297";"2787";"2021-07-11 20:09:20"
"c38eff8c0a38000000fd01";"00CEA297";"2786";"2021-07-11 20:01:13"
"c390ff920a38000000ff00";"00CEA297";"2785";"2021-07-11 19:48:41"
"c385ff8e0a39000000ff01";"00CEA297";"2784";"2021-07-11 19:40:35"
"c38aff920a430000010200";"00CEA297";"2783";"2021-07-11 19:28:00"
"c385ff960a3e000000ff00";"00CEA297";"2782";"2021-07-11 19:17:40"
"c386ff920a3a0000010200";"00CEA297";"2781";"2021-07-11 19:07:20"
"c388ff8c0a34000000ff00";"00CEA297";"2780";"2021-07-11 18:57:01"
"c380ff8f0a30000000fd00";"00CEA297";"2779";"2021-07-11 18:46:40"
"c385ff8b0a3b0000010000";"00CEA297";"2778";"2021-07-11 18:36:20"
"c38bff8e0a33000000ff00";"00CEA297";"2777";"2021-07-11 18:26:01"
"c381ff930a3a000000ff00";"00CEA297";"2776";"2021-07-11 18:15:41"
"c382ff8e0a32000000fc00";"00CEA297";"2775";"2021-07-11 18:05:20"
"c37dff930a38000000fd00";"00CEA297";"2774";"2021-07-11 17:55:00"
"c389ff8c0a310000010200";"00CEA297";"2773";"2021-07-11 17:44:41"
"c381ff8e0a39000000ff00";"00CEA297";"2772";"2021-07-11 17:34:20"
"c37fff880a410000010401";"00CEA297";"2771";"2021-07-11 17:26:14"
"c385ff8f0a30000000fd00";"00CEA297";"2770";"2021-07-11 17:13:40"
"c37fff8d0a32000000fa00";"00CEA297";"2769";"2021-07-11 17:03:20"
"c383ff8c0a39000000f900";"00CEA297";"2768";"2021-07-11 16:53:01"
"c388ff900a36000000fa00";"00CEA297";"2767";"2021-07-11 16:42:40"
