"Data";"Device ID";"Sequence number";"Timestamp"
"c528ff3e1040000000cc00";"00CEA299";"3139";"2021-07-14 09:48:47"
"c52bff411041000000cb00";"00CEA299";"3138";"2021-07-14 09:38:27"
"c527ff351037000000cc00";"00CEA299";"3137";"2021-07-14 09:28:07"
"c522ff3f103c000000cb00";"00CEA299";"3136";"2021-07-14 09:17:47"
"c52aff3d1041000000cc00";"00CEA299";"3135";"2021-07-14 09:07:27"
"c530ff411044000000cc00";"00CEA299";"3134";"2021-07-14 08:57:07"
"c527ff3e103f000000ce00";"00CEA299";"3133";"2021-07-14 08:46:47"
"c52aff40103c000000d100";"00CEA299";"3132";"2021-07-14 08:36:27"
"c52aff401040000000ce00";"00CEA299";"3131";"2021-07-14 08:26:07"
"c52cff3d1042000000d000";"00CEA299";"3130";"2021-07-14 08:15:47"
"c527ff3c1046000000cc00";"00CEA299";"3129";"2021-07-14 08:05:27"
"c526ff3d1040000000ce00";"00CEA299";"3128";"2021-07-14 07:55:07"
"c519ff41103c000000ce00";"00CEA299";"3127";"2021-07-14 07:44:47"
"c520ff381041000000cb00";"00CEA299";"3126";"2021-07-14 07:34:27"
"c528ff34103d000000cb01";"00CEA299";"3125";"2021-07-14 07:26:21"
"c520ff351042000000ce01";"00CEA299";"3124";"2021-07-14 07:16:01"
"c523ff3e103b000000cb00";"00CEA299";"3123";"2021-07-14 07:03:27"
"c529ff3c103b000000cb01";"00CEA299";"3122";"2021-07-14 06:55:21"
"c528ff3e1040000000cb00";"00CEA299";"3121";"2021-07-14 06:42:46"
"c528ff3b1040000000ce00";"00CEA299";"3120";"2021-07-14 06:32:27"
"c528ff3d103b000000d001";"00CEA299";"3119";"2021-07-14 06:24:21"
"c521ff3b1040000000d300";"00CEA299";"3118";"2021-07-14 06:11:47"
"c528ff3d1042000000cc00";"00CEA299";"3117";"2021-07-14 06:01:27"
"c52aff43103d000000d000";"00CEA299";"3116";"2021-07-14 05:51:06"
"c529ff3d103b000000ce00";"00CEA299";"3115";"2021-07-14 05:40:47"
"c52fff41103b000000ce01";"00CEA299";"3114";"2021-07-14 05:32:41"
"c526ff3d103c000000d100";"00CEA299";"3113";"2021-07-14 05:20:07"
"c52fff39103e000000ce00";"00CEA299";"3112";"2021-07-14 05:09:47"
"c529ff3b1040000000cc00";"00CEA299";"3111";"2021-07-14 04:59:26"
"c52aff3c103a000000cb01";"00CEA299";"3110";"2021-07-14 04:51:20"
"c523ff341041000000cc00";"00CEA299";"3109";"2021-07-14 04:38:47"
"c52fff371042000000cc00";"00CEA299";"3108";"2021-07-14 04:28:26"
"c525ff37103c000000d000";"00CEA299";"3107";"2021-07-14 04:18:07"
"c52cff311042000000d400";"00CEA299";"3106";"2021-07-14 04:07:47"
"c52cff3c103f000000cc00";"00CEA299";"3105";"2021-07-14 03:57:26"
"c529ff3e103b000000d000";"00CEA299";"3104";"2021-07-14 03:47:06"
"c52dff371049000000d000";"00CEA299";"3103";"2021-07-14 03:36:47"
"c52eff38103e000000d400";"00CEA299";"3102";"2021-07-14 03:26:27"
"c528ff361032000000d100";"00CEA299";"3101";"2021-07-14 03:16:06"
"c528ff37103d000000d600";"00CEA299";"3100";"2021-07-14 03:05:47"
"c529ff311045000000cc01";"00CEA299";"3099";"2021-07-14 02:57:41"
"c52eff39103c000000cc00";"00CEA299";"3098";"2021-07-14 02:45:06"
"c52dff36103a000000cc01";"00CEA299";"3097";"2021-07-14 02:37:01"
"c52cff38103a000000ce00";"00CEA299";"3096";"2021-07-14 02:24:27"
"c532ff38103a000000cc00";"00CEA299";"3095";"2021-07-14 02:14:07"
"c52aff31103a000000cb00";"00CEA299";"3094";"2021-07-14 02:03:47"
"c529ff31103d000000d001";"00CEA299";"3093";"2021-07-14 01:55:41"
"c52eff381047000000ce00";"00CEA299";"3092";"2021-07-14 01:43:06"
"c52eff371046000000cc00";"00CEA299";"3091";"2021-07-14 01:32:47"
"c531ff37103c000000cb00";"00CEA299";"3090";"2021-07-14 01:22:26"
"c539ff3b1041000000d301";"00CEA299";"3089";"2021-07-14 01:14:20"
"c530ff401041000000d100";"00CEA299";"3088";"2021-07-14 01:01:46"
"c533ff391043000000d300";"00CEA299";"3087";"2021-07-14 00:51:26"
"c532ff391041000000d100";"00CEA299";"3086";"2021-07-14 00:41:07"
"c535ff30103c000000d300";"00CEA299";"3085";"2021-07-14 00:30:47"
"c53eff33103e000000d100";"00CEA299";"3084";"2021-07-14 00:20:26"
"c538ff3b103d000000d800";"00CEA299";"3083";"2021-07-14 00:10:06"
"c530ff351037000000d001";"00CEA299";"3082";"2021-07-14 00:02:00"
"c535ff30103b000000d100";"00CEA299";"3081";"2021-07-13 23:49:27"
"c538ff34103b000000d900";"00CEA299";"3080";"2021-07-13 23:39:06"
"c53dff38103a000000d600";"00CEA299";"3079";"2021-07-13 23:28:46"
"c535ff37103d000000d801";"00CEA299";"3078";"2021-07-13 23:20:40"
"c53fff321040000000d801";"00CEA299";"3077";"2021-07-13 23:10:20"
"c53bff37103b000000d900";"00CEA299";"3076";"2021-07-13 22:57:46"
"c536ff36103b000000d300";"00CEA299";"3075";"2021-07-13 22:47:26"
"c536ff32103e000000d100";"00CEA299";"3074";"2021-07-13 22:37:06"
"c53fff2d1038000000d601";"00CEA299";"3073";"2021-07-13 22:29:00"
"c539ff38103a000000d300";"00CEA299";"3072";"2021-07-13 22:16:26"
"c537ff301039000000d300";"00CEA299";"3071";"2021-07-13 22:06:06"
"c541ff3e1040000000d300";"00CEA299";"3070";"2021-07-13 21:55:46"
"c541ff311039000000d400";"00CEA299";"3069";"2021-07-13 21:45:26"
"c547ff351036000000d401";"00CEA299";"3068";"2021-07-13 21:37:20"
"c544ff331038000000d600";"00CEA299";"3067";"2021-07-13 21:24:46"
"c545ff2c1038000000d400";"00CEA299";"3066";"2021-07-13 21:14:26"
"c541ff32103c000000d901";"00CEA299";"3065";"2021-07-13 21:06:20"
"c53dff30103d000000d900";"00CEA299";"3064";"2021-07-13 20:53:48"
"c548ff36103c000000d301";"00CEA299";"3063";"2021-07-13 20:45:40"
"c54bff31103a000000d300";"00CEA299";"3062";"2021-07-13 20:33:06"
"c53fff31103a000000d800";"00CEA299";"3061";"2021-07-13 20:22:46"
"c544ff351037000000d300";"00CEA299";"3060";"2021-07-13 20:12:26"
"c542ff2a1032000000d101";"00CEA299";"3059";"2021-07-13 20:04:20"
"c542ff2f1030000000d600";"00CEA299";"3058";"2021-07-13 19:51:46"
"c53fff2c1031000000d801";"00CEA299";"3057";"2021-07-13 19:43:40"
"c542ff301035000000d600";"00CEA299";"3056";"2021-07-13 19:31:06"
"c543ff281034000000d600";"00CEA299";"3055";"2021-07-13 19:20:46"
"c54aff2b1033000000d401";"00CEA299";"3054";"2021-07-13 19:12:41"
"c53cff2a1033000000d000";"00CEA299";"3053";"2021-07-13 19:00:06"
"c546ff2e1031000000d400";"00CEA299";"3052";"2021-07-13 18:49:46"
"c548ff2d1033000000d400";"00CEA299";"3051";"2021-07-13 18:39:25"
"c545ff2f1030000000d601";"00CEA299";"3050";"2021-07-13 18:31:20"
"c548ff2c1032000000d600";"00CEA299";"3049";"2021-07-13 18:18:46"
"c54eff2f1033000000db00";"00CEA299";"3048";"2021-07-13 18:08:26"
"c546ff2f102a000000dc00";"00CEA299";"3047";"2021-07-13 17:58:05"
"c54bff301032000000d400";"00CEA299";"3046";"2021-07-13 17:47:46"
"c545ff34103d000000d801";"00CEA299";"3045";"2021-07-13 17:39:40"
"c54bff2c103b000000d800";"00CEA299";"3044";"2021-07-13 17:27:08"
"c549ff2d1039000000db00";"00CEA299";"3043";"2021-07-13 17:16:45"
"c547ff2e1039000000e000";"00CEA299";"3042";"2021-07-13 17:06:26"
"c548ff29103d000000d900";"00CEA299";"3041";"2021-07-13 16:56:06"
"c54dff321036000000d901";"00CEA299";"3040";"2021-07-13 16:48:00"
"c547ff2d1037000000d801";"00CEA299";"3039";"2021-07-13 16:37:40"
"c54fff24103c000000db00";"00CEA299";"3038";"2021-07-13 16:25:05"
"c54bff2b103a000000d601";"00CEA299";"3037";"2021-07-13 16:17:00"
"c54bff281037000000de00";"00CEA299";"3036";"2021-07-13 16:04:26"
"c551ff321038000000dc01";"00CEA299";"3035";"2021-07-13 15:56:19"
"c549ff2f102f000000e000";"00CEA299";"3034";"2021-07-13 15:43:46"
"c54eff34102e000000d800";"00CEA299";"3033";"2021-07-13 15:33:26"
"c548ff2c1037000000dc01";"00CEA299";"3032";"2021-07-13 15:25:20"
