2021-11-11 06:20:44,132,16034,-94,0.008232178488854413,173,+1.8299,+16.470
2021-11-11 07:17:21,126,16038,-95,0.007856041743277893,179,+1.8306,+16.433
2021-11-11 08:19:04,126,16034,-92,0.007858010012509426,173,+1.8305,+16.407
2021-11-11 09:17:22,128,16034,-86,0.007982751652492594,176,+1.8303,+16.399
2021-11-11 10:24:07,128,16033,-83,0.007983257384314723,174,+1.8288,+16.299
2021-11-11 11:19:03,136,16032,-78,0.00848273006464896,173,+1.8309,+16.355
2021-11-11 12:17:24,132,16030,-92,0.008234238478246877,176,+1.8300,+16.388
2021-11-11 13:17:24,130,16034,-82,0.008107487318621492,171,+1.8296,+16.418
2021-11-11 14:19:04,133,16028,-78,0.008297689838380426,177,+1.8308,+16.418
2021-11-11 15:19:04,132,16031,-83,0.008233750102294544,176,+1.8303,+16.434
2021-11-11 16:17:22,129,16031,-84,0.008046624975291065,171,+1.8311,+16.478
2021-11-11 17:19:03,126,16028,-90,0.007860956969131493,174,+1.8292,+16.425
2021-11-11 18:17:23,123,16029,-90,0.007673320053482162,176,+1.8299,+16.473
2021-11-11 19:19:04,128,16034,-90,0.007982740723511177,177,+1.8308,+16.465
2021-11-11 20:17:24,126,16025,-88,0.007862433941498801,173,+1.8311,+16.507
2021-11-11 21:17:25,126,16026,-89,0.007861940662727114,174,+1.8292,+16.402
2021-11-11 22:17:24,127,16026,-87,0.007924339845314427,173,+1.8302,+16.540
2021-11-11 23:19:06,126,16035,-85,0.007857538925512123,174,+1.8319,+16.431
2021-11-12 00:17:23,134,16034,-86,0.008356926104546147,174,+1.8300,+16.498
2021-11-12 01:20:46,125,16031,-86,0.007797122340948286,177,+1.8292,+16.418
2021-11-12 02:19:04,132,16034,-85,0.008232204279609532,173,+1.8306,+16.451
2021-11-12 03:19:07,125,16026,-97,0.007799524256621722,177,+1.8286,+16.501
2021-11-12 04:19:04,123,16033,-81,0.007671428770143937,179,+1.8300,+16.489
2021-11-12 05:19:05,129,16043,-93,0.008040581725461208,179,+1.8315,+16.476
2021-11-12 06:19:06,132,16036,-98,0.00823113956795109,176,+1.8301,+16.457
2021-11-12 07:17:24,133,16038,-88,0.008292489672943848,179,+1.8323,+16.410
2021-11-12 08:19:07,132,16040,-87,0.008229119625986247,177,+1.8298,+16.344
2021-11-12 09:17:25,125,16040,-81,0.007792760344672809,176,+1.8294,+16.405
2021-11-12 10:22:28,133,16036,-77,0.00829355309453508,174,+1.8316,+16.402
2021-11-12 11:17:24,134,16034,-84,0.008356931630146124,177,+1.8317,+16.295
2021-11-12 12:19:05,142,16045,-89,0.008849741882503773,173,+1.8311,+16.302
2021-11-12 13:17:25,133,16039,-75,0.008292006840521572,173,+1.8289,+16.354
2021-11-12 14:17:24,135,16036,-84,0.008418243884673986,174,+1.8310,+16.284
2021-11-12 15:17:24,134,16041,-92,0.008353262234737537,176,+1.8313,+16.344
2021-11-12 16:17:26,134,16043,-87,0.008352235479086652,176,+1.8320,+16.323
2021-11-12 17:19:06,139,16044,-94,0.008663309458656043,174,+1.8298,+16.404
2021-11-12 18:17:25,134,16041,-89,0.008353271047849166,174,+1.8317,+16.431
2021-11-12 19:19:06,127,16045,-92,0.007914942994544443,174,+1.8312,+16.426
