"Series","Date","Value"
"Temperature for Smartbrick 148102","2022-03-07 17:15:55","10"
"Temperature for Smartbrick 148102","2022-03-07 23:15:53","6"
"Temperature for Smartbrick 148102","2022-03-08 05:15:59","3.5"
"Temperature for Smartbrick 148102","2022-03-08 11:15:53","26.9"
"Temperature for Smartbrick 148102","2022-03-08 17:15:52","11.7"
"Temperature for Smartbrick 148102","2022-03-08 23:15:58","6.6"
"Temperature for Smartbrick 148102","2022-03-09 05:15:51","4.5"
"Temperature for Smartbrick 148102","2022-03-09 17:15:50","14.2"
"Temperature for Smartbrick 148102","2022-03-09 23:15:50","8.5"
"Temperature for Smartbrick 148102","2022-03-10 05:15:49","5.8"
"Temperature for Smartbrick 148102","2022-03-10 11:15:51","31.3"
"Temperature for Smartbrick 148102","2022-03-10 17:15:48","15.2"
"Temperature for Smartbrick 148102","2022-03-10 23:15:48","9.7"
"Temperature for Smartbrick 148102","2022-03-11 05:15:48","6.9"
"Temperature for Smartbrick 148102","2022-03-11 11:15:48","30.5"
"Temperature for Smartbrick 148102","2022-03-11 17:15:47","15"
"Temperature for Smartbrick 148102","2022-03-11 23:15:46","10.9"
"Temperature for Smartbrick 148102","2022-03-12 05:15:46","8.8"
"Temperature for Smartbrick 148102","2022-03-12 11:15:46","17.7"
"Temperature for Smartbrick 148102","2022-03-12 17:15:45","14"
"Temperature for Smartbrick 148102","2022-03-12 23:15:45","11.4"
"Temperature for Smartbrick 148102","2022-03-13 05:15:44","10.2"
"Temperature for Smartbrick 148102","2022-03-13 11:15:44","23.7"
"Temperature for Smartbrick 148102","2022-03-13 17:15:43","15.9"
"Temperature for Smartbrick 148102","2022-03-13 23:15:43","12"
"Temperature for Smartbrick 148102","2022-03-14 05:15:56","10.6"
"Temperature for Smartbrick 148102","2022-03-14 11:15:42","13.6"
