"Series","Date","Value"
"Temperature for Smartbrick 148106","2022-03-21 12:38:09","23.1"
"Temperature for Smartbrick 148106","2022-03-21 14:22:06","22.8"
"Temperature for Smartbrick 148106","2022-03-21 14:27:08","21.5"
"Temperature for Smartbrick 148106","2022-03-21 14:32:08","20.6"
"Temperature for Smartbrick 148106","2022-03-21 14:37:08","20.6"
"Temperature for Smartbrick 148106","2022-03-21 14:42:08","20.1"
"Temperature for Smartbrick 148106","2022-03-21 14:47:07","19.7"
"Temperature for Smartbrick 148106","2022-03-21 14:52:08","19.3"
"Temperature for Smartbrick 148106","2022-03-21 14:57:08","19"
"Temperature for Smartbrick 148106","2022-03-21 15:02:08","18.8"
"Temperature for Smartbrick 148106","2022-03-21 15:07:08","18.8"
"Temperature for Smartbrick 148106","2022-03-21 15:12:08","18.6"
"Temperature for Smartbrick 148106","2022-03-21 15:17:08","18.3"
"Temperature for Smartbrick 148106","2022-03-21 15:22:08","18"
"Temperature for Smartbrick 148106","2022-03-21 15:27:08","17.8"
"Temperature for Smartbrick 148106","2022-03-21 15:32:08","17.6"
"Temperature for Smartbrick 148106","2022-03-21 15:37:08","17.5"
"Temperature for Smartbrick 148106","2022-03-21 15:42:08","17.4"
"Temperature for Smartbrick 148106","2022-03-21 15:47:08","17.3"
"Temperature for Smartbrick 148106","2022-03-21 15:52:08","17.2"
"Temperature for Smartbrick 148106","2022-03-21 15:57:08","17.2"
"Temperature for Smartbrick 148106","2022-03-21 16:02:08","17.1"
"Temperature for Smartbrick 148106","2022-03-21 16:07:08","17.1"
"Temperature for Smartbrick 148106","2022-03-21 16:12:08","17.1"
"Temperature for Smartbrick 148106","2022-03-21 16:17:08","17.1"
"Temperature for Smartbrick 148106","2022-03-21 16:22:08","17"
"Temperature for Smartbrick 148106","2022-03-21 16:27:08","17"
"Temperature for Smartbrick 148106","2022-03-21 16:32:07","17"
"Temperature for Smartbrick 148106","2022-03-21 16:37:08","17"
"Temperature for Smartbrick 148106","2022-03-21 16:42:08","17"
"Temperature for Smartbrick 148106","2022-03-21 16:47:08","17"
"Temperature for Smartbrick 148106","2022-03-21 16:52:07","17"
"Temperature for Smartbrick 148106","2022-03-21 16:57:08","17"
"Temperature for Smartbrick 148106","2022-03-21 17:02:08","17"
"Temperature for Smartbrick 148106","2022-03-21 17:07:07","17"
"Temperature for Smartbrick 148106","2022-03-21 17:12:07","17"
"Temperature for Smartbrick 148106","2022-03-21 17:17:07","16"
"Temperature for Smartbrick 148106","2022-03-21 17:22:07","10.3"
"Temperature for Smartbrick 148106","2022-03-21 17:27:08","2.8"
"Temperature for Smartbrick 148106","2022-03-21 17:32:07","-2.3"
"Temperature for Smartbrick 148106","2022-03-21 17:37:08","-6.6"
"Temperature for Smartbrick 148106","2022-03-21 17:42:08","-9.6"
"Temperature for Smartbrick 148106","2022-03-21 17:47:08","-11.9"
"Temperature for Smartbrick 148106","2022-03-21 17:52:08","-13.5"
"Temperature for Smartbrick 148106","2022-03-21 17:57:08","-14.8"
"Temperature for Smartbrick 148106","2022-03-21 18:02:08","-15.7"
"Temperature for Smartbrick 148106","2022-03-21 18:07:08","-16.5"
"Temperature for Smartbrick 148106","2022-03-21 18:12:08","-17"
"Temperature for Smartbrick 148106","2022-03-21 18:17:08","-17.4"
"Temperature for Smartbrick 148106","2022-03-21 18:22:08","-17.7"
"Temperature for Smartbrick 148106","2022-03-21 18:27:08","-18"
"Temperature for Smartbrick 148106","2022-03-21 18:32:08","-18.2"
"Temperature for Smartbrick 148106","2022-03-21 18:37:08","-18.3"
"Temperature for Smartbrick 148106","2022-03-21 18:42:08","-18.5"
"Temperature for Smartbrick 148106","2022-03-21 18:47:08","-18.5"
"Temperature for Smartbrick 148106","2022-03-21 18:52:08","-18.6"
"Temperature for Smartbrick 148106","2022-03-21 18:57:08","-18.7"
"Temperature for Smartbrick 148106","2022-03-21 19:02:08","-18.7"
"Temperature for Smartbrick 148106","2022-03-21 19:07:08","-18.7"
"Temperature for Smartbrick 148106","2022-03-21 19:12:08","-18.7"
"Temperature for Smartbrick 148106","2022-03-21 19:17:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:22:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:27:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:32:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:37:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:42:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:47:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 19:52:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 19:57:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:02:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 20:07:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 20:12:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 20:17:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 20:22:08","-18.9"
"Temperature for Smartbrick 148106","2022-03-21 20:27:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:32:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:37:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:42:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:47:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:52:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 20:57:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:02:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:07:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:12:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:17:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:22:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:27:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:32:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:37:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:42:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:47:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:52:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 21:57:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:02:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:07:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:12:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:17:08","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:22:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:27:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:32:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:37:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:42:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:47:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:52:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 22:57:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:02:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:07:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:12:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:17:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:22:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:27:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:32:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:37:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:42:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:47:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:52:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-21 23:57:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-22 00:02:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-22 00:07:10","-18.8"
"Temperature for Smartbrick 148106","2022-03-22 00:12:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-22 00:17:09","-18.8"
"Temperature for Smartbrick 148106","2022-03-22 00:22:09","-18.6"
"Temperature for Smartbrick 148106","2022-03-22 00:27:09","-18.2"
"Temperature for Smartbrick 148106","2022-03-22 00:32:09","-17.7"
"Temperature for Smartbrick 148106","2022-03-22 00:37:10","-17.1"
"Temperature for Smartbrick 148106","2022-03-22 00:42:09","-16.5"
"Temperature for Smartbrick 148106","2022-03-22 00:47:09","-15.8"
"Temperature for Smartbrick 148106","2022-03-22 00:52:09","-15.1"
"Temperature for Smartbrick 148106","2022-03-22 00:57:10","-14.3"
"Temperature for Smartbrick 148106","2022-03-22 01:02:10","-13.5"
"Temperature for Smartbrick 148106","2022-03-22 01:07:10","-12.8"
"Temperature for Smartbrick 148106","2022-03-22 01:12:09","-12"
"Temperature for Smartbrick 148106","2022-03-22 01:17:09","-11.3"
"Temperature for Smartbrick 148106","2022-03-22 01:22:09","-10.7"
"Temperature for Smartbrick 148106","2022-03-22 01:27:09","-10.3"
"Temperature for Smartbrick 148106","2022-03-22 01:32:09","-10"
"Temperature for Smartbrick 148106","2022-03-22 01:37:09","-9.7"
"Temperature for Smartbrick 148106","2022-03-22 01:42:09","-9.6"
"Temperature for Smartbrick 148106","2022-03-22 01:47:09","-9.4"
"Temperature for Smartbrick 148106","2022-03-22 01:52:09","-9.3"
"Temperature for Smartbrick 148106","2022-03-22 01:57:09","-9.3"
"Temperature for Smartbrick 148106","2022-03-22 02:02:09","-9.2"
"Temperature for Smartbrick 148106","2022-03-22 02:07:09","-9.2"
"Temperature for Smartbrick 148106","2022-03-22 02:12:10","-9.1"
"Temperature for Smartbrick 148106","2022-03-22 02:17:10","-9.1"
"Temperature for Smartbrick 148106","2022-03-22 02:22:09","-9.1"
"Temperature for Smartbrick 148106","2022-03-22 02:27:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:32:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:37:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:42:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:47:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:52:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 02:57:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:02:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:07:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:12:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:17:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:22:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:27:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:32:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:37:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:42:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:47:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:52:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 03:57:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:02:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:07:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:12:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:17:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:22:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:27:11","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:32:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:37:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:42:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:47:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:52:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 04:57:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:02:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:07:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:12:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:17:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:22:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:27:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:32:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:37:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:42:09","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:47:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:52:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 05:57:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 06:02:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 06:07:10","-9"
"Temperature for Smartbrick 148106","2022-03-22 06:12:10","-9"
