"Series","Date","Value"
"Temperature for Smartbrick 148107","2022-04-11 10:12:10","16.6"
"Temperature for Smartbrick 148107","2022-04-11 10:17:10","16.6"
"Temperature for Smartbrick 148107","2022-04-11 10:22:10","16.7"
"Temperature for Smartbrick 148107","2022-04-11 10:27:10","16.7"
"Temperature for Smartbrick 148107","2022-04-11 10:32:10","16.7"
"Temperature for Smartbrick 148107","2022-04-11 10:37:10","16.8"
"Temperature for Smartbrick 148107","2022-04-11 10:42:10","16.8"
"Temperature for Smartbrick 148107","2022-04-11 10:47:10","16.8"
"Temperature for Smartbrick 148107","2022-04-11 10:52:10","16.9"
"Temperature for Smartbrick 148107","2022-04-11 10:57:10","16.9"
"Temperature for Smartbrick 148107","2022-04-11 11:02:10","17"
"Temperature for Smartbrick 148107","2022-04-11 11:07:10","17"
"Temperature for Smartbrick 148107","2022-04-11 11:12:11","17"
"Temperature for Smartbrick 148107","2022-04-11 11:17:10","17.1"
"Temperature for Smartbrick 148107","2022-04-11 11:22:10","17.1"
"Temperature for Smartbrick 148107","2022-04-11 11:27:10","17.2"
"Temperature for Smartbrick 148107","2022-04-11 11:32:10","17.2"
"Temperature for Smartbrick 148107","2022-04-11 11:37:10","17.3"
"Temperature for Smartbrick 148107","2022-04-11 11:42:10","17.3"
"Temperature for Smartbrick 148107","2022-04-11 11:47:10","17.4"
"Temperature for Smartbrick 148107","2022-04-11 11:52:10","17.4"
"Temperature for Smartbrick 148107","2022-04-11 11:57:16","17.5"
"Temperature for Smartbrick 148107","2022-04-11 12:02:10","17.6"
"Temperature for Smartbrick 148107","2022-04-11 12:07:10","17.6"
"Temperature for Smartbrick 148107","2022-04-11 12:12:10","17.7"
"Temperature for Smartbrick 148107","2022-04-11 12:17:11","17.7"
"Temperature for Smartbrick 148107","2022-04-11 12:22:12","17.8"
"Temperature for Smartbrick 148107","2022-04-11 12:27:10","17.8"
"Temperature for Smartbrick 148107","2022-04-11 12:32:10","17.9"
"Temperature for Smartbrick 148107","2022-04-11 12:37:10","17.9"
"Temperature for Smartbrick 148107","2022-04-11 12:42:10","18"
"Temperature for Smartbrick 148107","2022-04-11 12:47:10","18"
"Temperature for Smartbrick 148107","2022-04-11 12:52:10","18.1"
"Temperature for Smartbrick 148107","2022-04-11 12:57:10","18.1"
"Temperature for Smartbrick 148107","2022-04-11 13:02:10","18.2"
"Temperature for Smartbrick 148107","2022-04-11 13:07:10","18.2"
"Temperature for Smartbrick 148107","2022-04-11 13:12:10","18.3"
"Temperature for Smartbrick 148107","2022-04-11 13:17:10","18.3"
"Temperature for Smartbrick 148107","2022-04-11 13:22:10","18.4"
"Temperature for Smartbrick 148107","2022-04-11 13:27:10","18.5"
"Temperature for Smartbrick 148107","2022-04-11 13:32:10","18.5"
"Temperature for Smartbrick 148107","2022-04-11 13:37:10","18.6"
"Temperature for Smartbrick 148107","2022-04-11 13:42:10","18.6"
"Temperature for Smartbrick 148107","2022-04-11 13:47:10","18.7"
"Temperature for Smartbrick 148107","2022-04-11 13:52:09","18.7"
"Temperature for Smartbrick 148107","2022-04-11 13:57:10","18.7"
"Temperature for Smartbrick 148107","2022-04-11 14:02:10","18.8"
"Temperature for Smartbrick 148107","2022-04-11 14:07:09","18.8"
"Temperature for Smartbrick 148107","2022-04-11 14:12:09","18.9"
"Temperature for Smartbrick 148107","2022-04-11 14:17:09","18.9"
"Temperature for Smartbrick 148107","2022-04-11 14:22:10","18.9"
"Temperature for Smartbrick 148107","2022-04-11 14:27:09","19"
"Temperature for Smartbrick 148107","2022-04-11 14:32:09","19"
"Temperature for Smartbrick 148107","2022-04-11 14:37:10","19.1"
"Temperature for Smartbrick 148107","2022-04-11 14:42:09","19.1"
"Temperature for Smartbrick 148107","2022-04-11 14:47:09","19.2"
"Temperature for Smartbrick 148107","2022-04-11 14:52:09","19.2"
"Temperature for Smartbrick 148107","2022-04-11 14:57:09","19.2"
"Temperature for Smartbrick 148107","2022-04-11 15:02:09","19.2"
"Temperature for Smartbrick 148107","2022-04-11 15:07:09","19.3"
"Temperature for Smartbrick 148107","2022-04-11 15:12:09","19.3"
"Temperature for Smartbrick 148107","2022-04-11 15:17:09","19.3"
"Temperature for Smartbrick 148107","2022-04-11 15:22:09","19.3"
"Temperature for Smartbrick 148107","2022-04-11 15:27:09","19.4"
"Temperature for Smartbrick 148107","2022-04-11 15:32:09","19.4"
"Temperature for Smartbrick 148107","2022-04-11 15:37:10","19.4"
"Temperature for Smartbrick 148107","2022-04-11 15:42:09","19.4"
"Temperature for Smartbrick 148107","2022-04-11 15:47:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 15:52:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 15:57:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:02:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:07:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:12:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:17:09","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:22:10","19.5"
"Temperature for Smartbrick 148107","2022-04-11 16:27:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:32:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:37:10","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:42:10","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:47:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:52:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 16:57:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:02:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:07:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:12:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:17:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:22:10","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:27:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 17:32:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:37:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 17:42:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 17:47:10","19.7"
"Temperature for Smartbrick 148107","2022-04-11 17:52:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 17:57:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:02:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:07:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:12:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:17:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:22:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:27:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:32:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:37:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:42:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:47:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:52:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 18:57:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:02:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:07:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:12:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:17:10","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:22:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:27:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:32:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:37:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 19:42:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 19:47:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:52:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 19:57:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 20:02:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:07:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:12:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:17:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 20:22:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:27:09","19.7"
"Temperature for Smartbrick 148107","2022-04-11 20:32:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:37:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:42:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:47:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:52:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 20:57:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:02:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:07:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:12:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:17:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:22:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:27:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:32:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:37:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:42:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:47:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:52:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 21:57:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:02:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:07:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:12:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:17:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:22:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:27:09","19.6"
"Temperature for Smartbrick 148107","2022-04-11 22:32:09","19.6"
