Time	Seq Num	Data / Decoding	LQI	Callbacks	Callbacks	Location
2021-06-10 10:36:10	160	c324fec3081a000000ec 		 		 
2021-06-10 10:25:50	159	c31bfebc0814000000ee 		 		 
2021-06-10 10:15:30	158	c32cfebd0814000000ee 		 		 
2021-06-10 10:05:10	157	c322feb5081a000000f1 		 		 
2021-06-10 09:54:50	156	c322feb60817000000f4 		 		 
2021-06-10 09:44:30	155	c31ffeaf081c000000f4 		 		 
2021-06-10 09:34:10	154	c30bfead081c000000f4 		 		 
2021-06-10 09:23:50	153	c31bfeaf082c000000f3 		 		 
2021-06-10 09:13:30	152	c317feaf0824000000f6 		 		 
2021-06-10 09:03:10	151	c311fea40822000000f6 		 		 
2021-06-10 08:52:50	150	c313fe9d082f000000f9 		 		 
2021-06-10 08:42:30	149	c311fe9c0826000000fa 		 		 
2021-06-10 08:32:10	148	c303fe980823000000fc 		 		 
2021-06-10 08:21:50	147	c301fe9b0833000000fd 		 		 
2021-06-10 08:11:29	146	c302fe8b083200000105 		 		 
2021-06-10 08:01:10	145	c305fe9a082700000100 		 		 
2021-06-10 07:50:50	144	c311feac0825000000f4 		 		 
2021-06-10 07:40:29	143	c30cfea30822000000f7 		 		 
2021-06-10 07:30:10	142	c31bfea80821000000f7 		 		 
2021-06-10 07:19:50	141	c316fea90816000000f4 		 		 
2021-06-10 07:09:30	140	c313feb6081d000000f4 		 		 
2021-06-10 06:59:10	139	c319feb60817000000f1 		 		 
2021-06-10 06:48:50	138	c320feb3081a000000f1 		 		 
2021-06-10 06:38:30	137	c31cfeb4081e000000f4 		 		 
2021-06-10 06:28:10	136	c31afea8081b000000ef 		 		 
2021-06-10 06:17:50	135	c316feb50818000000f6 		 		 
2021-06-10 06:07:29	134	c319feae080e000000f4 		 		 
2021-06-10 05:57:09	133	c31afeae081d000000f1 		 		 
2021-06-10 05:46:50	132	c311feb10819000000f1 		 		 
2021-06-10 05:36:29	131	c313feb3081b000000f1 		 		 
2021-06-10 05:26:10	130	c321feb2081d000000f4 		 		 
2021-06-10 05:15:50	129	c312feb50819000000ef 		 		 
2021-06-10 05:05:30	128	c314fea00816000000f3 		 		 
2021-06-10 04:55:09	127	c310fea50817000000f4 		 		 
2021-06-10 04:44:49	126	c30efea6081a000000f7 		 		 
2021-06-10 04:34:30	125	c311fea90820000000f1 		 		 
2021-06-10 04:24:10	124	c30bfea6081c000000f7 		 		 
2021-06-10 04:13:49	123	c313fea30810000000f4 		 		 
2021-06-10 04:03:29	122	c312fead0820000000f3 		 		 
2021-06-10 03:53:10	121	c311fea4081a000000f4 		 		 
2021-06-10 03:42:49	120	c318fead080c000000f4 		 		 
2021-06-10 03:32:30	119	c314fea4081e000000f9 		 		 
2021-06-10 03:22:09	118	c30dfeb1081f000000fa 		 		 
2021-06-10 03:11:49	117	c317feab0815000000f9 		 		 
2021-06-10 03:01:29	116	c317feab0818000000f6 		 		 
2021-06-10 02:51:10	115	c315fea7081a000000f9 		 		 
2021-06-10 02:40:49	114	c311feaa081a000000f4 		 		 
2021-06-10 02:30:30	113	c311fea80826000000f7 		 		 
2021-06-10 02:20:10	112	c30dfea9081c000000f9 		 		 
2021-06-10 02:09:49	111	c312fea3081e000000f6 		 		 
2021-06-10 01:59:30	110	c30afea2081d000000f7 		 		 
2021-06-10 01:49:09	109	c316fea30820000000f4 		 		 
2021-06-10 01:38:49	108	c313fea90824000000f6 		 		 
2021-06-10 01:28:30	107	c30cfe9e0823000000f6 		 		 
2021-06-10 01:18:09	106	c30dfe9b081e000000f6 		 		 
2021-06-10 01:07:49	105	c30dfe9a0821000000f7 		 		 
2021-06-10 00:57:29	104	c30efea00828000000f7 		 		 
2021-06-10 00:47:09	103	c306fe9c0820000000fa 		 		 
2021-06-10 00:36:50	102	c30ffe97081a000000f9 		 		 
2021-06-10 00:26:31	101	c30cfe9b0822000000f9 		 		 
2021-06-10 00:16:09	100	c301fe960825000000f7 		 		 
2021-06-10 00:05:52	99	c30cfe9d082a000000f9 		 		 
2021-06-09 23:55:29	98	c30cfe950823000000f9 		 		 
2021-06-09 23:45:12	97	c302fe9c0823000000fc 		 		 
2021-06-09 23:34:49	96	c30efe990823000000fa 		 		 
2021-06-09 23:24:29	95	c30cfe9d0820000000f9 		 		 
2021-06-09 23:14:09	94	c307fe990820000000f9 		 		 
2021-06-09 23:03:49	93	c30afe93081c000000fd 		 		 
2021-06-09 22:53:29	92	c303fe970829000000fd 		 		 
2021-06-09 22:43:09	91	c2fefe950823000000fd 		 		 
2021-06-09 22:32:49	90	c2fffe93081d000000f7 		 		 
2021-06-09 22:22:29	89	c308fe9e082300000104 		 		 
2021-06-09 22:12:09	88	c301fe960828000000fc 		 		 
2021-06-09 22:01:49	87	c308fe9a082900000100 		 		 
2021-06-09 21:51:29	86	c2f9fe97082a000000fc 		 		 
2021-06-09 21:41:09	85	c301fe950829000000fc 		 		 
2021-06-09 21:30:49	84	c301fe950824000000fd 		 		 
2021-06-09 21:20:29	83	c2fefe8b082c00000100 		 		 
2021-06-09 21:10:09	82	c2f8fe8e0829000000fa 		 		 
2021-06-09 20:59:49	81	c305fe95081f000000fd 		 		 
2021-06-09 20:49:29	80	c2fffe960826000000fd 		 		 
2021-06-09 20:39:09	79	c2f9fe95082b000000fc 		 		 
2021-06-09 20:28:49	78	c304fe910830000000fd 		 		 
2021-06-09 20:18:29	77	c2fafe91082300000102 		 		 
2021-06-09 20:08:09	76	c2fffe87082200000105 		 		 
2021-06-09 19:57:49	75	c2f9fe8f0829000000ff 		 		 
2021-06-09 19:47:29	74	c301fe9a082e00000100 		 		 
2021-06-09 19:37:08	73	c303fe96082900000102 		 		 
2021-06-09 19:26:49	72	c300fe930821000000fd 		 		 
2021-06-09 19:16:29	71	c2fdfe8a082c00000104 		 		 
2021-06-09 19:06:08	70	c301fe8a0823000000fa 		 		 
2021-06-09 18:55:49	69	c2fbfe9d0824000000f9 		 		 
2021-06-09 18:45:29	68	c2fefe910822000000fc 		 		 
2021-06-09 18:35:09	67	c2fcfe92082e000000f9 		 		 
2021-06-09 18:24:48	66	c2f8fe9f082f000000f6 		 		 
2021-06-09 18:14:29	65	c2f9fe91082f000000fa 		 		 
2021-06-09 18:04:08	64	c2fcfe95082d000000f6 		 		 
2021-06-09 17:53:49	63	c302fe9a082c000000f4 		 		 
2021-06-09 17:43:29	62	c2f5fe95082f000000ef 		 		 
2021-06-09 17:33:08	61	c2c2fe6a0843000000f1 		 		 
