"Series","Date","Value"
"Temperature for Smartbrick 148101","2022-03-07 19:09:21","8.2"
"Temperature for Smartbrick 148101","2022-03-08 01:09:21","5.3"
"Temperature for Smartbrick 148101","2022-03-08 07:09:21","3.4"
"Temperature for Smartbrick 148101","2022-03-08 13:09:20","27.9"
"Temperature for Smartbrick 148101","2022-03-08 19:09:19","9.6"
"Temperature for Smartbrick 148101","2022-03-09 01:09:19","6.2"
"Temperature for Smartbrick 148101","2022-03-09 07:09:19","4.2"
"Temperature for Smartbrick 148101","2022-03-09 13:09:18","31.5"
"Temperature for Smartbrick 148101","2022-03-09 19:09:18","11.3"
"Temperature for Smartbrick 148101","2022-03-10 01:09:17","7.8"
"Temperature for Smartbrick 148101","2022-03-10 07:09:17","5.7"
"Temperature for Smartbrick 148101","2022-03-10 13:09:17","33.2"
"Temperature for Smartbrick 148101","2022-03-10 19:09:16","12.7"
"Temperature for Smartbrick 148101","2022-03-11 01:09:16","8.8"
"Temperature for Smartbrick 148101","2022-03-11 07:09:16","6.5"
"Temperature for Smartbrick 148101","2022-03-11 13:09:15","30.8"
"Temperature for Smartbrick 148101","2022-03-11 19:09:15","13.4"
"Temperature for Smartbrick 148101","2022-03-12 01:09:14","10.8"
"Temperature for Smartbrick 148101","2022-03-12 07:09:15","9.1"
"Temperature for Smartbrick 148101","2022-03-12 13:09:13","22.5"
"Temperature for Smartbrick 148101","2022-03-12 19:09:13","11.4"
"Temperature for Smartbrick 148101","2022-03-13 01:09:12","11.2"
"Temperature for Smartbrick 148101","2022-03-13 07:09:12","10.2"
"Temperature for Smartbrick 148101","2022-03-13 13:09:12","24.1"
"Temperature for Smartbrick 148101","2022-03-13 19:09:11","13.3"
"Temperature for Smartbrick 148101","2022-03-14 01:09:11","11.7"
"Temperature for Smartbrick 148101","2022-03-14 07:09:11","9.8"
"Temperature for Smartbrick 148101","2022-03-14 13:09:10","24.3"
