"Series,""Date"",""Value"""
"Temperature for Smartbrick 141431,""2022-03-07 09:57:32"",""5.2"""
"Temperature for Smartbrick 141431,""2022-03-07 10:07:32"",""5.3"""
"Temperature for Smartbrick 141431,""2022-03-07 10:17:33"",""5.1"""
"Temperature for Smartbrick 141431,""2022-03-07 10:27:32"",""5.2"""
"Temperature for Smartbrick 141431,""2022-03-07 10:37:31"",""5.5"""
"Temperature for Smartbrick 141431,""2022-03-07 10:47:32"",""5.8"""
"Temperature for Smartbrick 141431,""2022-03-07 10:57:32"",""6"""
"Temperature for Smartbrick 141431,""2022-03-07 11:07:31"",""6.2"""
"Temperature for Smartbrick 141431,""2022-03-07 11:17:31"",""6.3"""
"Temperature for Smartbrick 141431,""2022-03-07 11:27:32"",""6.5"""
"Temperature for Smartbrick 141431,""2022-03-07 11:37:32"",""6.6"""
"Temperature for Smartbrick 141431,""2022-03-07 11:47:32"",""6.7"""
"Temperature for Smartbrick 141431,""2022-03-07 11:57:32"",""6.8"""
"Temperature for Smartbrick 141431,""2022-03-07 12:07:32"",""7"""
"Temperature for Smartbrick 141431,""2022-03-07 12:17:33"",""7.1"""
"Temperature for Smartbrick 141431,""2022-03-07 12:27:31"",""7.3"""
"Temperature for Smartbrick 141431,""2022-03-07 12:37:31"",""7.2"""
"Temperature for Smartbrick 141431,""2022-03-07 12:47:32"",""7.2"""
"Temperature for Smartbrick 141431,""2022-03-07 12:57:32"",""7.3"""
"Temperature for Smartbrick 141431,""2022-03-07 13:07:32"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 13:17:32"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 13:27:33"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 13:37:32"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 13:47:31"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 13:57:32"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 14:07:32"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 14:17:34"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 14:27:31"",""7.6"""
"Temperature for Smartbrick 141431,""2022-03-07 14:37:31"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 14:47:35"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 14:57:32"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 15:07:32"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 15:17:32"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 15:27:31"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 15:37:31"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 15:47:32"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 15:57:32"",""7.3"""
"Temperature for Smartbrick 141431,""2022-03-07 16:07:32"",""7.2"""
"Temperature for Smartbrick 141431,""2022-03-07 16:17:31"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 16:27:31"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 16:37:31"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 16:47:32"",""7.5"""
"Temperature for Smartbrick 141431,""2022-03-07 16:57:32"",""7.4"""
"Temperature for Smartbrick 141431,""2022-03-07 17:07:32"",""7.3"""
"Temperature for Smartbrick 141431,""2022-03-07 17:17:32"",""7.2"""
"Temperature for Smartbrick 141431,""2022-03-07 17:27:31"",""7.2"""
"Temperature for Smartbrick 141431,""2022-03-07 17:37:31"",""7.1"""
"Temperature for Smartbrick 141431,""2022-03-07 17:47:32"",""6.9"""
"Temperature for Smartbrick 141431,""2022-03-07 17:57:32"",""6.8"""
"Temperature for Smartbrick 141431,""2022-03-07 18:07:31"",""6.6"""
"Temperature for Smartbrick 141431,""2022-03-07 18:17:32"",""6.4"""
"Temperature for Smartbrick 141431,""2022-03-07 18:27:31"",""6.3"""
"Temperature for Smartbrick 141431,""2022-03-07 18:37:31"",""6.1"""
"Temperature for Smartbrick 141431,""2022-03-07 18:47:36"",""5.9"""
"Temperature for Smartbrick 141431,""2022-03-07 18:57:32"",""5.8"""
"Temperature for Smartbrick 141431,""2022-03-07 19:07:32"",""5.8"""
"Temperature for Smartbrick 141431,""2022-03-07 19:17:32"",""5.7"""
"Temperature for Smartbrick 141431,""2022-03-07 19:27:31"",""5.6"""
"Temperature for Smartbrick 141431,""2022-03-07 19:37:31"",""5.5"""
"Temperature for Smartbrick 141431,""2022-03-07 19:47:31"",""5.4"""
"Temperature for Smartbrick 141431,""2022-03-07 19:57:31"",""5.3"""
"Temperature for Smartbrick 141431,""2022-03-07 20:07:31"",""5.3"""
"Temperature for Smartbrick 141431,""2022-03-07 20:17:32"",""5.1"""
"Temperature for Smartbrick 141431,""2022-03-07 20:27:32"",""4.9"""
"Temperature for Smartbrick 141431,""2022-03-07 20:37:31"",""4.8"""
"Temperature for Smartbrick 141431,""2022-03-07 20:47:31"",""4.8"""
"Temperature for Smartbrick 141431,""2022-03-07 20:57:31"",""4.8"""
"Temperature for Smartbrick 141431,""2022-03-07 21:07:31"",""4.8"""
"Temperature for Smartbrick 141431,""2022-03-07 21:17:32"",""4.8"""
"Temperature for Smartbrick 141431,""2022-03-07 21:27:31"",""4.6"""
"Temperature for Smartbrick 141431,""2022-03-07 21:37:31"",""4.6"""
"Temperature for Smartbrick 141431,""2022-03-07 21:47:31"",""4.6"""
"Temperature for Smartbrick 141431,""2022-03-07 21:57:32"",""4.6"""
"Temperature for Smartbrick 141431,""2022-03-07 22:07:31"",""4.5"""
"Temperature for Smartbrick 141431,""2022-03-07 22:17:31"",""4.5"""
"Temperature for Smartbrick 141431,""2022-03-07 22:27:31"",""4.4"""
