"Series","Date","Value"
"Temperature for Smartbrick 163087","2023-03-18 12:17:02","27"
"Temperature for Smartbrick 163087","2023-03-18 18:17:01","23.2"
"Temperature for Smartbrick 163087","2023-03-19 00:17:01","20.5"
"Temperature for Smartbrick 163087","2023-03-19 06:17:00","19.8"
"Temperature for Smartbrick 163087","2023-03-19 12:16:59","20.1"
"Temperature for Smartbrick 163087","2023-03-19 18:16:58","20.7"
"Temperature for Smartbrick 163087","2023-03-20 00:16:57","19.7"
"Temperature for Smartbrick 163087","2023-03-20 06:16:57","19.4"
"Temperature for Smartbrick 163087","2023-03-20 12:16:55","20.9"
"Temperature for Smartbrick 163087","2023-03-20 18:16:54","20.9"
"Temperature for Smartbrick 163087","2023-03-22 00:16:50","20.7"
"Temperature for Smartbrick 163087","2023-03-22 06:16:50","20"
"Temperature for Smartbrick 163087","2023-03-22 12:16:48","20.5"
"Temperature for Smartbrick 163087","2023-03-22 18:16:47","20.7"
"Temperature for Smartbrick 163087","2023-03-23 00:16:47","20.2"
"Temperature for Smartbrick 163087","2023-03-23 06:16:46","20.1"
"Temperature for Smartbrick 163087","2023-03-23 12:16:45","22.1"
"Temperature for Smartbrick 163087","2023-03-23 18:16:44","22.9"
"Temperature for Smartbrick 163087","2023-03-24 00:16:43","21"
"Temperature for Smartbrick 163087","2023-03-24 06:16:44","20.2"
"Temperature for Smartbrick 163087","2023-03-24 12:16:41","29.9"
"Temperature for Smartbrick 163087","2023-03-24 18:16:41","26.1"
"Temperature for Smartbrick 163087","2023-03-25 00:16:41","21.2"
"Temperature for Smartbrick 163087","2023-03-25 06:16:39","20"
"Temperature for Smartbrick 163087","2023-03-25 12:16:39","23.7"
"Temperature for Smartbrick 163087","2023-03-25 18:16:37","23.9"
"Temperature for Smartbrick 163087","2023-03-26 00:16:36","20.3"
"Temperature for Smartbrick 163087","2023-03-26 07:16:36","19.7"
"Temperature for Smartbrick 163087","2023-03-26 13:16:34","20.2"
"Temperature for Smartbrick 163087","2023-03-26 19:16:34","22"
"Temperature for Smartbrick 163087","2023-03-27 01:16:33","19.7"
"Temperature for Smartbrick 163087","2023-03-27 07:16:33","19.2"
"Temperature for Smartbrick 163087","2023-03-27 13:16:32","22.8"
"Temperature for Smartbrick 163087","2023-03-27 19:16:30","23.6"
"Temperature for Smartbrick 163087","2023-03-28 01:16:29","20"
"Temperature for Smartbrick 163087","2023-03-28 07:16:29","19.1"
"Temperature for Smartbrick 163087","2023-03-28 13:16:28","24.7"
"Temperature for Smartbrick 163087","2023-03-28 19:16:27","22.9"
"Temperature for Smartbrick 163087","2023-03-29 01:16:26","20.1"
"Temperature for Smartbrick 163087","2023-03-29 07:16:25","19.6"
"Temperature for Smartbrick 163087","2023-03-29 13:16:24","21.1"
"Temperature for Smartbrick 163087","2023-03-29 19:16:25","21.9"
"Temperature for Smartbrick 163087","2023-03-30 01:16:22","20.4"
"Temperature for Smartbrick 163087","2023-03-30 07:16:22","20.1"
"Temperature for Smartbrick 163087","2023-03-30 13:16:21","23.4"
"Temperature for Smartbrick 163087","2023-03-30 19:16:20","23.8"
"Temperature for Smartbrick 163087","2023-03-31 01:16:19","20.9"
"Temperature for Smartbrick 163087","2023-03-31 07:16:19","20.1"
"Temperature for Smartbrick 163087","2023-03-31 13:16:17","21.9"
"Temperature for Smartbrick 163087","2023-03-31 19:16:16","21.8"
"Temperature for Smartbrick 163087","2023-04-01 01:16:15","20.3"
"Temperature for Smartbrick 163087","2023-04-01 07:16:16","19.8"
"Temperature for Smartbrick 163087","2023-04-01 13:16:14","20.5"
"Temperature for Smartbrick 163087","2023-04-01 19:16:13","21.1"
"Temperature for Smartbrick 163087","2023-04-02 01:16:13","19.7"
"Temperature for Smartbrick 163087","2023-04-02 07:16:12","19.3"
"Temperature for Smartbrick 163087","2023-04-02 13:16:10","32.2"
"Temperature for Smartbrick 163087","2023-04-02 19:16:10","25.1"
"Temperature for Smartbrick 163087","2023-04-03 01:16:09","20.4"
"Temperature for Smartbrick 163087","2023-04-03 07:16:08","19.3"
"Temperature for Smartbrick 163087","2023-04-03 13:16:07","22.3"
"Temperature for Smartbrick 163087","2023-04-03 19:16:06","22.1"
"Temperature for Smartbrick 163087","2023-04-04 01:16:05","20"
"Temperature for Smartbrick 163087","2023-04-04 07:16:05","19.2"
"Temperature for Smartbrick 163087","2023-04-04 13:16:03","22.3"
"Temperature for Smartbrick 163087","2023-04-04 19:16:03","22.5"
"Temperature for Smartbrick 163087","2023-04-05 01:16:02","20.4"
"Temperature for Smartbrick 163087","2023-04-05 07:16:02","19.5"
"Temperature for Smartbrick 163087","2023-04-05 13:16:02","37.9"
"Temperature for Smartbrick 163087","2023-04-05 19:16:00","27.1"
"Temperature for Smartbrick 163087","2023-04-06 01:15:58","21.6"
"Temperature for Smartbrick 163087","2023-04-06 07:15:58","19.9"
"Temperature for Smartbrick 163087","2023-04-06 13:15:57","25.1"
"Temperature for Smartbrick 163087","2023-04-06 15:50:40","22.2"
"Temperature for Smartbrick 163087","2023-04-06 15:55:40","22.2"
"Temperature for Smartbrick 163087","2023-04-06 16:00:40","22"
"Temperature for Smartbrick 163087","2023-04-06 16:05:45","21.9"
"Temperature for Smartbrick 163087","2023-04-06 16:10:41","21.7"
"Temperature for Smartbrick 163087","2023-04-06 16:15:41","21.5"
"Temperature for Smartbrick 163087","2023-04-06 16:20:41","21.3"
"Temperature for Smartbrick 163087","2023-04-06 16:25:43","21.2"
"Temperature for Smartbrick 163087","2023-04-06 16:30:41","21.1"
"Temperature for Smartbrick 163087","2023-04-06 16:35:42","21"
"Temperature for Smartbrick 163087","2023-04-06 16:40:43","21"
"Temperature for Smartbrick 163087","2023-04-06 16:45:42","20.9"
"Temperature for Smartbrick 163087","2023-04-06 16:51:07","20.9"
"Temperature for Smartbrick 163087","2023-04-06 16:55:41","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:00:41","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:05:41","20.8"
"Temperature for Smartbrick 163087","2023-04-06 17:10:45","20.8"
"Temperature for Smartbrick 163087","2023-04-06 17:15:44","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:20:44","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:25:45","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:30:45","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:35:49","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:40:44","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:45:44","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:50:45","20.9"
"Temperature for Smartbrick 163087","2023-04-06 17:55:42","20.9"
"Temperature for Smartbrick 163087","2023-04-06 18:00:42","20.8"
